first_name,last_name,gender,emails,country,location_latitude,location_longitude,make,model,price,start,end
Jessica,Cantrell,M,andrewthomas@example.net,Central African Republic,29.6332305,91.822740,Volkswagen,Tiguan,26000,2020-12-19 15:26:40,
Megan,Stephens,F,tiffanymccoy@example.net,Maldives,31.0227915,-60.172680,Honda,Passport,38000,2021-01-18 22:50:19,
Kelly,Johnson,F,donna60@example.net,French Southern Territories,-56.2621415,-66.112665,Ford,F-150,30000,2008-01-14 02:04:36,
Sheri,Torres,M,collinssheila@example.net,Cayman Islands,21.7153905,123.300242,Audi,TT,51000,2019-11-02 18:07:07,
Darlene,Smith,F,garzajeff@example.net,Kuwait,-43.958732,154.450613,BMW,7 Series,86000,2015-07-30 12:57:09,
Katrina,Gray,F,corey96@example.net,Congo,42.1643985,-123.937676,Ford,Mustang,27000,2012-07-12 22:05:28,
Teresa,Price,F,nsmith@example.com,United Arab Emirates,-14.475224,-170.286404,Volkswagen,Atlas Cross Sport,31000,2020-04-10 11:50:55,
Brooke,Mathews,M,matthewlewis@example.net,Bhutan,11.799772,114.004749,Audi,TT,51000,2021-08-22 09:00:54,2022-08-12 17:53:19
Hailey,Khan,M,itate@example.org,Bahrain,-79.155085,-134.537645,Honda,HR-V,24000,2018-01-21 07:11:20,2018-12-04 21:47:53
Brandi,Jackson,M,josephcook@example.net,Tajikistan,-21.470784,17.626477,Ford,Transit,38000,2023-05-03 06:36:23,
Gina,Wilson,F,michellemunoz@example.net,Tuvalu,41.209325,-107.336681,Porsche,911 Turbo,174000,2013-05-26 10:32:18,
Lauren,Carrillo,M,benjamin16@example.org,Switzerland,-56.440937,3.017932,Audi,R8,143000,2008-07-09 01:54:35,2008-11-24 18:49:27
Ashley,Matthews,M,jjones@example.org,Mongolia,-68.0572115,-36.803834,Toyota,Prius,25000,2008-06-07 02:45:43,
Holly,Phillips,F,ellisjoshua@example.org,Sweden,-10.6134505,-173.352603,Honda,Ridgeline,38000,2019-01-19 03:20:27,
Lisa,Smith,F,ywilson@example.org,Comoros,-25.6739095,135.032026,Audi,A6,56000,2017-03-18 05:16:51,
Jennifer,Wilson,F,erinmoore@example.org,Jordan,11.543030,111.480878,Volkswagen,Atlas Cross Sport,31000,2008-02-27 04:44:23,
Susan,Carter,M,jennifer51@example.org,Pakistan,-4.794200,-158.729057,Volkswagen,Jetta,19000,2023-12-23 16:04:25,
Alyssa,Buchanan,F,jessica57@example.com,Germany,16.986337,-146.196035,Porsche,911 Turbo,174000,2022-12-28 19:07:07,
Amy,Stewart,F,nrodriguez@example.net,Slovakia (Slovak Republic),55.7371505,71.749563,BMW,7 Series,86000,2014-06-26 17:17:45,
Mary,Green,M,kylesanchez@example.org,Svalbard & Jan Mayen Islands,-14.6268875,-131.995792,Tesla,Model S Plaid,125000,2019-09-05 15:53:35,2021-07-09 14:42:52
Victoria,West,F,shelley64@example.org,Greece,-39.852807,-9.954116,Volkswagen,Taos,24000,2024-06-26 09:48:56,
Rebecca,Riley,F,john18@example.net,Mozambique,69.977477,-130.584293,Toyota,Prius,25000,2015-03-07 22:35:10,
Danielle,Smith,F,richardadams@example.org,Saint Lucia,-69.832500,-168.449718,Toyota,4Runner,38000,2020-05-07 06:59:08,
Madison,Carter,M,trevor21@example.net,Slovakia (Slovak Republic),-1.9280565,-138.603503,Ferrari,Daytona SP3,2200000,2008-06-29 10:52:32,
Katrina,Ortega,F,kimberlymercer@example.com,Gambia,-61.310227,96.143983,Ferrari,SF90 Spider,558000,2016-12-22 13:48:07,
Sandra,Guzman,M,patriciathomas@example.net,Antigua and Barbuda,-5.1559605,154.753818,Mercedes-Benz,S-Class,112000,2011-10-09 13:03:27,
Regina,Meadows,M,gregoryreynolds@example.org,Australia,89.2554905,-47.233493,Tesla,Model X,99000,2020-12-28 11:20:49,
Dawn,Brown,F,jstokes@example.com,Mauritius,27.950219,108.868713,Toyota,Highlander,35000,2015-06-13 22:31:48,
Jody,Foster,M,george70@example.net,Venezuela,21.8527275,126.340495,Tesla,Cybertruck,40000,2023-12-23 18:44:13,
Alicia,Holt,M,brittneytaylor@example.com,Indonesia,61.416908,35.329343,Honda,Ridgeline,38000,2016-06-07 20:52:50,
Carolyn,Davis,M,hsmith@example.com,Macao,84.171550,55.319620,Tesla,Model Y Performance,61000,2017-05-28 08:23:45,
Tara,Fowler,M,johnsimpson@example.com,Zimbabwe,-29.5853565,41.322957,Ferrari,296 GTB,322000,2011-12-19 08:04:23,2017-11-05 10:39:19
Gabrielle,Carr,F,teresa30@example.org,Serbia,47.3561965,166.436584,Porsche,Taycan,83000,2011-12-05 13:18:51,
Sherry,Moore,M,larryschwartz@example.net,Holy See (Vatican City State),-45.660177,69.525981,Tesla,Roadster,200000,2019-07-07 18:58:15,
Linda,Chase,M,qthompson@example.com,Cuba,62.878648,-152.011189,Toyota,Tundra,36000,2011-09-21 10:59:33,
Kathleen,Long,M,patrick28@example.net,Armenia,50.706877,-131.465909,Tesla,Model S,89000,2020-12-11 08:45:07,
Rhonda,Fuller,M,jillian12@example.net,Tajikistan,87.091529,-135.972137,Tesla,Cybertruck,40000,2015-10-26 21:02:10,2020-09-30 12:24:07
Jill,Glass,F,bcase@example.com,Chad,-2.633044,55.218690,Honda,Ridgeline,38000,2023-10-06 02:40:59,
Beth,Stout,M,davidburke@example.com,United States of America,-58.300450,174.608448,Toyota,Prius,25000,2008-05-13 12:46:38,
Elizabeth,Wright,F,moyerallison@example.net,Angola,-81.729935,156.900771,Volkswagen,GTI,30000,2015-01-30 01:15:03,
Valerie,Allen,F,jamie42@example.net,Cook Islands,-16.656535,-12.960318,Tesla,Model X,99000,2022-04-01 12:40:51,
Laurie,King,M,zmoody@example.org,Mayotte,5.819492,83.501226,Tesla,Model S Plaid,125000,2023-08-03 12:03:42,
Jennifer,Martinez,M,ashleyreyes@example.com,Sudan,-60.9716035,-167.034222,Porsche,718 Cayman,61000,2017-06-19 16:28:56,
Bailey,Burgess,F,tammie21@example.net,Holy See (Vatican City State),63.700313,-12.898146,Audi,Q7,57000,2023-09-09 06:43:34,
Jessica,Byrd,M,aaron77@example.com,Gambia,54.765992,34.427719,Toyota,Sienna,35000,2018-12-05 01:52:42,
Gina,Simon,M,ywilson@example.com,Costa Rica,59.4886375,-177.919275,Tesla,Roadster,200000,2009-09-13 09:07:19,2012-11-11 13:28:23
Wendy,Reid,F,valeriemurray@example.net,Ireland,-8.036833,-88.564000,Ferrari,296 GTB,322000,2018-09-15 15:54:27,
Joanna,Barnett,F,michaelsmith@example.com,Mozambique,24.3184655,37.568051,Porsche,Cayenne Coupe,77000,2020-04-23 12:52:13,
Gabriella,Howell,F,vasquezjulie@example.net,Pakistan,-11.9158835,158.054386,Toyota,Highlander,35000,2022-08-18 12:31:19,
Alicia,Griffith,F,cynthiagiles@example.com,Tanzania,-42.177934,-140.586777,Mercedes-Benz,CLA,39000,2013-01-15 16:56:22,
Robin,Jacobs,F,roberta68@example.com,Canada,34.036174,-40.762069,Ferrari,Roma,222000,2010-01-21 04:25:02,
Kari,Mcdonald,F,nelsoncorey@example.net,Jamaica,-71.2754755,10.684369,BMW,i4,52000,2020-08-22 18:03:45,
Andrea,Ramos,M,williamshah@example.net,Bermuda,17.890578,161.435123,Ford,F-150,30000,2013-08-29 07:06:06,
Melissa,Jacobs,M,allisonyoung@example.com,Ethiopia,-71.5976285,-139.796544,BMW,5 Series,54000,2023-03-27 21:52:58,
Melissa,Lozano,F,taylor80@example.org,French Southern Territories,85.306336,118.630297,Toyota,Prius,25000,2020-04-10 03:33:09,
Debra,Lynch,M,philipross@example.com,Somalia,-20.335137,147.706852,Toyota,4Runner,38000,2024-07-22 13:53:45,
Erin,Walker,M,meganjohnson@example.net,Iraq,-5.0323535,51.802402,Honda,HR-V,24000,2020-02-06 04:36:14,
Taylor,Wright,F,james29@example.com,Mozambique,-50.223215,145.483304,BMW,iX,84000,2016-07-08 20:39:50,
Theresa,Stevens,M,dillontaylor@example.net,Kazakhstan,6.929296,-13.697866,Mercedes-Benz,GLE,57000,2023-12-06 20:08:31,
Nicole,Allen,F,jennifertorres@example.org,Denmark,16.5709845,-7.465708,Ford,Mustang,27000,2024-06-15 00:51:01,
Katherine,Garcia,F,bradypacheco@example.org,Tuvalu,-31.8682115,-161.363366,Mercedes-Benz,S-Class,112000,2015-03-07 21:09:31,
Kathleen,Rice,F,rpeterson@example.org,New Zealand,-43.6443825,-128.873325,Ford,Mach-E,44000,2016-08-20 20:17:02,
Courtney,Hall,F,kgray@example.org,Dominica,-13.8605605,68.343495,Mercedes-Benz,GLC,43000,2022-02-13 15:53:37,
Kimberly,Price,F,vespinoza@example.com,Nauru,-60.218259,-65.191392,Ford,Expedition,51000,2023-06-26 16:38:03,
Wendy,Williams,M,mathewsluis@example.com,Thailand,65.760683,-25.802380,Volkswagen,Taos,24000,2019-05-28 03:12:41,
Tamara,Ross,M,laurajohnson@example.com,Cameroon,88.458901,111.293014,Porsche,Cayenne,69000,2011-03-25 16:26:38,
Amy,Gray,F,christopherpearson@example.com,United Kingdom,-86.123389,-160.957383,Toyota,4Runner,38000,2013-02-28 01:35:31,
Kimberly,Warren,M,bradhill@example.org,Jersey,-65.5622515,-77.934971,Audi,Q7,57000,2012-10-31 16:54:58,
Alyssa,Walsh,F,gloria37@example.com,Greenland,79.3996915,-36.133003,Audi,Q3,36000,2017-12-30 02:22:12,
Tracy,May,F,johnmatthews@example.net,China,3.848993,50.035159,Ford,Mustang,27000,2024-07-23 19:35:41,
Lisa,Castro,F,steinamy@example.net,Cook Islands,53.990085,47.697571,Ford,Mach-E,44000,2023-01-05 12:48:24,
Tamara,Jones,M,julia14@example.org,Bhutan,-49.463627,-148.480787,Honda,Fit,19000,2016-06-29 22:16:02,
Tamara,Bond,F,brownchristopher@example.net,Latvia,44.5204715,18.778170,Audi,A3,35000,2022-05-25 02:06:19,
Annette,Edwards,M,amandaramos@example.org,Ukraine,16.082541,59.489048,Honda,Civic,22000,2024-01-03 15:11:16,
Allison,Warren,F,wrightmark@example.com,Antigua and Barbuda,13.142621,-148.774215,Audi,A6,56000,2016-08-05 17:23:04,
Morgan,Edwards,M,jorgejames@example.org,Togo,-8.464214,-129.502748,Toyota,RAV4,27000,2014-09-10 05:08:39,
Jessica,Sanchez,M,markmorgan@example.com,Zimbabwe,66.803973,78.316738,Porsche,911 Turbo,174000,2018-01-07 22:22:59,
Ashley,Delgado,F,jmills@example.net,Tanzania,66.0586055,99.215116,Audi,TT,51000,2022-07-08 03:31:21,
Kimberly,Prince,F,julia35@example.com,Mali,-2.967754,-127.719464,Honda,Insight,26000,2008-08-02 12:51:54,
Jennifer,Martinez,M,williamslisa@example.net,Martinique,-5.805173,44.190974,Porsche,Panamera,88000,2016-03-03 00:38:15,2020-04-19 08:38:43
Elizabeth,Gomez,F,kaitlyn88@example.org,Malta,-57.287385,-100.136964,Tesla,Model 3,43000,2020-08-26 09:09:13,
Emily,Acosta,M,ashley74@example.com,Korea,7.7549075,24.294267,Audi,R8,143000,2021-07-25 21:32:27,
Robyn,Schaefer,F,tayloralexandra@example.net,Timor-Leste,-22.376135,-48.270711,Volkswagen,Arteon,40000,2014-11-17 03:48:39,
Michele,Francis,F,vicki56@example.com,Kyrgyz Republic,70.5945755,2.778600,Toyota,4Runner,38000,2015-01-18 10:58:54,
Kim,Jackson,M,johnwalker@example.org,United States of America,-59.7308385,-80.893447,Mercedes-Benz,GLA,37000,2019-04-23 13:44:21,
Pamela,Crosby,F,caintiffany@example.net,Ethiopia,-61.294157,-70.293252,Toyota,4Runner,38000,2010-12-11 00:44:03,
Deborah,Chen,F,wyattlaura@example.org,Norway,-43.4620815,94.596715,BMW,5 Series,54000,2014-03-31 05:28:26,
Shannon,Johnson,M,rachel74@example.org,Uganda,-36.2094285,141.090681,Ford,Edge,34000,2017-05-03 02:48:09,2024-11-04 16:04:22
Katherine,Nolan,F,ronaldlowe@example.net,United States Minor Outlying Islands,-39.312549,78.856704,Mercedes-Benz,AMG GT,92000,2019-12-17 13:02:12,
Molly,Cervantes,F,richard08@example.com,Malaysia,40.7484185,-138.976124,Ferrari,812 Superfast,340000,2021-03-13 21:17:47,
Jennifer,Andrade,F,dwilliams@example.org,Comoros,-9.642700,164.713267,Mercedes-Benz,C-Class,44000,2019-06-23 02:37:01,
Abigail,Wilson,M,william58@example.net,Montserrat,58.009085,-28.330287,Tesla,Model 3,43000,2020-07-23 02:40:10,
Kelly,Weaver,M,lmorrison@example.com,Korea,-8.9565475,-109.700148,Ferrari,Portofino M,245000,2014-05-17 07:45:53,
Katie,Willis,F,johnnysmith@example.com,Saint Pierre and Miquelon,87.583028,123.819823,Ferrari,F8 Spider,302000,2009-06-21 06:58:55,
Amanda,Fisher,F,sharon01@example.org,Tanzania,-88.7065805,25.845002,Mercedes-Benz,GLB,39000,2015-06-20 14:42:10,
Debra,Nelson,M,cynthia75@example.com,Korea,-58.7247315,79.697408,Tesla,Model 3,43000,2019-04-17 10:44:16,2023-08-14 01:45:53
Heather,Perry,F,cooleylisa@example.com,Togo,-55.8768325,136.526813,Audi,Q3,36000,2009-11-01 15:52:34,
Rachel,Herring,F,gscott@example.com,Saint Vincent and the Grenadines,22.945242,-33.071801,Volkswagen,Jetta,19000,2021-03-30 01:46:36,
Jessica,Waters,F,flewis@example.com,Saint Barthelemy,24.117979,-130.942220,Honda,Fit,19000,2010-10-14 04:27:32,
Amy,Harris,F,jermainejohnson@example.com,Cape Verde,38.791856,-126.875355,Audi,R8,143000,2016-11-10 23:58:00,
Jennifer,Cummings,M,davischeryl@example.org,Mexico,-31.406667,106.950083,Honda,Passport,38000,2022-04-16 06:39:11,
Jennifer,Williams,M,navarroerika@example.net,Saint Vincent and the Grenadines,-58.151037,-37.549737,BMW,M3,70000,2014-09-09 14:27:03,2020-12-28 22:47:46
Melinda,White,M,hartmanerica@example.org,Tonga,14.6138805,-113.541653,Ford,Mach-E,44000,2016-04-30 20:23:27,2016-10-31 14:55:43
Mary,Phillips,M,hstein@example.net,Timor-Leste,38.631802,-123.183126,Porsche,911,101000,2015-12-26 06:05:33,2016-09-21 11:23:14
Brittany,Austin,M,garyscott@example.net,Tuvalu,54.073501,-25.063050,Volkswagen,GTI,30000,2013-04-01 03:14:34,
Sheila,Schultz,F,kristinahanson@example.com,Bosnia and Herzegovina,-87.7016815,172.875780,Audi,Q5,44000,2019-12-19 15:56:23,
Hannah,Mcclure,F,brian74@example.org,Denmark,46.3689135,-32.594220,Toyota,RAV4,27000,2022-06-07 03:53:56,
Debra,Sanchez,F,davidlee@example.net,Norfolk Island,70.657129,-148.630688,Honda,Odyssey,33000,2024-09-22 07:34:47,
Kim,Lynch,F,sonyanelson@example.com,Qatar,-7.913230,-36.624732,Ferrari,Roma,222000,2018-06-17 07:13:08,
Katherine,Jimenez,M,lallen@example.net,Senegal,-41.3585115,131.678802,Volkswagen,Arteon,40000,2018-02-02 21:58:09,
Melissa,Nichols,M,gordonallison@example.org,Oman,-32.774715,-10.688970,Honda,HR-V,24000,2017-11-01 15:50:25,
Lisa,Castillo,F,andersondonald@example.com,Czech Republic,-66.369959,161.054035,BMW,M3,70000,2014-09-11 17:50:20,
Kimberly,Warner,F,gailperez@example.org,Macao,62.357213,174.283556,Tesla,Model Y Performance,61000,2019-01-04 06:55:23,
Stacey,Henderson,F,ayalalydia@example.net,Cyprus,-67.299640,-59.466928,Tesla,Model X Plaid,119000,2010-11-24 12:18:49,
Diana,Garrett,M,joseph86@example.org,British Virgin Islands,-1.460750,6.306680,Tesla,Model X,99000,2010-11-13 14:36:14,2019-05-31 09:50:48
Brenda,King,F,erinwilliams@example.org,Bermuda,-62.294857,-18.946153,BMW,3 Series,41000,2011-11-11 03:20:56,
Emily,Adams,M,coxchristian@example.com,Holy See (Vatican City State),81.363322,-50.044492,BMW,7 Series,86000,2024-09-15 09:53:03,
Anna,Murphy,F,robertsonmarc@example.org,Guinea,82.1189255,-112.407993,Mercedes-Benz,S-Class,112000,2008-03-17 10:32:41,
Lisa,Harrell,M,kdavis@example.net,Saint Kitts and Nevis,51.6624395,75.328072,Tesla,Model X,99000,2021-02-08 20:44:23,
Kristy,Nichols,F,oturner@example.net,Gabon,57.4041035,-108.529636,Ford,Bronco,30000,2011-05-24 18:02:14,
Amy,Romero,F,johnmerritt@example.com,Mayotte,-84.635019,-45.561010,Ferrari,812 GTS,364000,2017-03-07 01:35:09,
Kimberly,Duffy,F,thomas61@example.net,Holy See (Vatican City State),-71.457879,171.339738,Ford,Bronco,30000,2023-08-27 05:14:01,
Vanessa,Cox,M,montgomerysean@example.org,Cape Verde,-70.042658,131.000355,Volkswagen,ID.4,41000,2022-08-20 15:42:36,
Brenda,Koch,M,timothyowen@example.com,Haiti,-11.524727,-94.225318,BMW,X5,59000,2017-04-30 06:09:35,2019-04-21 14:27:59
Brittney,Pope,M,msullivan@example.org,Faroe Islands,-10.7330425,178.028098,Honda,Fit,19000,2014-11-18 04:40:52,
Melissa,Fowler,M,medinaalec@example.net,Bulgaria,11.872959,121.675155,Porsche,Macan,54000,2016-09-27 11:11:01,2019-08-31 16:41:59
Terri,Garcia,M,maxwellcarmen@example.com,Falkland Islands (Malvinas),9.359805,39.274673,Ferrari,812 GTS,364000,2024-03-15 10:13:54,
Jennifer,Murray,M,ruizbenjamin@example.net,Qatar,-89.8415595,-157.416222,BMW,X7,74000,2022-06-01 22:32:35,
Sandra,Matthews,F,andrea95@example.com,Svalbard & Jan Mayen Islands,-24.1867565,153.822149,Toyota,Tundra,36000,2017-10-30 07:00:25,
Cynthia,Hart,F,monica10@example.net,Germany,23.3856835,5.894825,BMW,M3,70000,2014-01-04 04:03:43,
Dawn,Garrett,M,jensenrobert@example.com,French Polynesia,1.599835,56.770915,Mercedes-Benz,S-Class,112000,2015-10-23 22:41:09,2020-05-23 04:33:06
Rebecca,Young,M,briannunez@example.net,China,55.769557,165.070780,Volkswagen,Jetta,19000,2019-03-20 05:14:16,2023-11-16 18:48:14
Lori,Kline,F,hesterandrew@example.org,Hungary,79.5445065,-86.202537,Ferrari,Daytona SP3,2200000,2018-05-11 20:26:01,
Jennifer,Perez,F,matthewbooker@example.net,Ecuador,33.830732,72.955841,Audi,A4,40000,2024-04-13 07:31:28,
Jaclyn,Curtis,M,ryanross@example.org,Montserrat,41.0710465,-36.947145,Ferrari,812 GTS,364000,2020-05-29 08:02:23,
Sara,Hernandez,M,zperry@example.org,Palau,-69.9784845,-81.771127,Honda,Fit,19000,2008-02-05 11:24:24,
Judy,Bennett,F,samantha28@example.org,Yemen,-21.6594675,-169.913768,BMW,X5,59000,2014-07-12 03:56:40,
Julie,Cochran,M,amandamyers@example.org,Mayotte,-23.0322345,47.080411,Volkswagen,Atlas,34000,2021-05-01 11:08:19,
Susan,Bates,F,elaine18@example.net,Central African Republic,-42.860754,21.693409,Ferrari,812 GTS,364000,2022-07-30 21:30:56,
Lauren,Palmer,F,cyoung@example.net,Saint Kitts and Nevis,-38.9330315,90.598727,BMW,M5,103000,2021-12-16 07:43:39,
Melissa,Valdez,F,wrightkimberly@example.org,Montenegro,82.8424155,-154.043651,Ford,Mustang,27000,2024-03-28 23:10:30,
Jasmine,Castro,M,hwilliams@example.org,Slovakia (Slovak Republic),-86.7335865,-168.805666,Toyota,4Runner,38000,2023-01-28 12:40:38,
Tina,Collins,M,jennifer29@example.org,Monaco,-4.5515685,107.058581,Toyota,Avalon,36000,2023-12-19 09:10:44,
Mallory,Gay,F,sspencer@example.com,Qatar,14.4453095,-72.239581,Toyota,Corolla,20000,2020-08-06 07:52:22,
Kathleen,Ramirez,F,jordanramirez@example.org,Slovakia (Slovak Republic),76.9776625,-135.083512,Audi,A4,40000,2016-09-19 13:31:47,
Monique,Rogers,M,jonathanking@example.com,Fiji,61.7918165,71.127493,Toyota,Highlander,35000,2021-10-06 19:41:17,
Alexis,Finley,M,jeremy19@example.net,Niger,-36.7393925,111.527366,Honda,Fit,19000,2010-03-14 03:04:17,2019-01-09 01:59:00
Jessica,Wiggins,M,angelamyers@example.org,Belize,77.880898,-138.580728,Audi,A6,56000,2021-03-23 13:52:13,2023-08-12 14:48:30
Brittany,Contreras,M,francispatrick@example.net,Burundi,68.6468045,140.460432,BMW,M5,103000,2011-06-30 20:10:58,
Betty,Ryan,F,penningtonmelissa@example.org,France,-35.665513,175.279346,Mercedes-Benz,GLA,37000,2015-04-01 15:14:51,
Michelle,Sanders,F,jeffreyfletcher@example.com,Liechtenstein,53.7104995,-23.357699,Mercedes-Benz,E-Class,56000,2024-02-27 08:24:10,
Ann,Wilcox,M,janicejohnson@example.net,Nauru,-62.340644,150.274896,Audi,e-tron,66000,2008-12-14 17:42:47,
Jacqueline,Wallace,F,williamskimberly@example.org,Sudan,-54.467495,157.794478,Tesla,Model 3 Performance,55000,2016-03-08 11:06:09,
Samantha,Rodriguez,F,pschultz@example.net,Cote d'Ivoire,45.3543795,92.580804,Tesla,Model 3 Performance,55000,2022-10-20 01:19:05,
Jennifer,Barr,M,lorireyes@example.net,Burkina Faso,65.2492495,-43.310505,Porsche,718 Cayman,61000,2014-03-16 09:22:53,
Molly,Robbins,F,valeriehart@example.net,Liberia,56.296404,149.414239,BMW,X3,43000,2017-09-11 20:27:43,
Crystal,Johnson,F,emilymorse@example.net,Djibouti,20.1774765,-33.063832,Volkswagen,Golf,24000,2017-06-06 22:17:54,
Patricia,Fisher,F,troy22@example.net,Andorra,31.8510985,-155.923264,Toyota,Camry,25000,2011-05-26 18:12:49,
Katherine,Long,M,rebecca11@example.net,San Marino,-78.549034,46.917387,Ford,Transit,38000,2024-01-04 06:06:22,
Sandra,Lopez,M,caitlinlee@example.net,Hungary,50.0773745,13.566899,Volkswagen,Taos,24000,2016-08-02 05:22:18,2020-02-07 14:42:47
Christina,Ward,M,petersonbrett@example.org,Syrian Arab Republic,73.9092695,-85.092030,Audi,Q7,57000,2016-04-01 05:16:25,
Stephanie,Nash,F,taylor98@example.org,Tonga,61.782755,32.761751,Audi,A4,40000,2021-11-01 23:46:07,
Anna,Ross,M,preston57@example.org,Micronesia,38.0856975,-170.644676,BMW,X7,74000,2014-01-26 00:22:32,
Jessica,Chapman,F,laura99@example.net,Thailand,-15.4350045,-144.638011,Ferrari,F8 Spider,302000,2015-01-19 03:27:49,
Sharon,Cobb,M,robert80@example.net,Mozambique,-59.5298985,-160.169390,BMW,X5,59000,2013-11-20 10:52:49,2013-11-30 07:12:54
Laura,Smith,M,matthew58@example.org,Northern Mariana Islands,9.3634745,132.849214,Honda,Fit,19000,2017-02-27 23:46:40,
Angela,Kemp,F,boonesean@example.net,Uruguay,56.0517165,-178.171382,Tesla,Model X Plaid,119000,2017-03-10 02:58:31,
Tammy,Browning,M,jason92@example.net,Botswana,18.4416145,-9.704029,Volkswagen,Atlas,34000,2018-08-10 05:29:09,
Sharon,Fisher,F,wendy49@example.com,Argentina,-72.9638815,158.623853,Mercedes-Benz,CLA,39000,2021-05-18 19:05:12,
Danielle,Tyler,F,kpierce@example.net,Belize,-69.890374,-88.523566,Honda,HR-V,24000,2018-06-02 15:31:53,
Sue,Farley,F,smiller@example.net,Saint Kitts and Nevis,82.0965865,-38.905723,Honda,Pilot,39000,2013-08-19 14:47:47,
Cynthia,Garcia,M,gwilliams@example.com,Solomon Islands,-35.263813,111.878634,Volkswagen,Jetta,19000,2015-10-17 19:48:08,
Angela,Stewart,M,michele20@example.com,Suriname,7.695049,-159.980937,Ford,Mustang,27000,2018-03-16 08:53:20,2018-06-11 06:51:16
Alyssa,Stewart,F,oliviawilliams@example.net,Reunion,88.136062,157.922615,Porsche,Cayenne,69000,2021-09-08 10:05:52,
Shelley,Coleman,F,jessematthews@example.net,Madagascar,-57.132630,-36.871926,Ferrari,296 GTB,322000,2011-11-27 17:11:01,
Judy,Harrington,F,suzanne59@example.net,Guinea,-31.006145,161.127697,Honda,Ridgeline,38000,2018-10-23 01:24:19,
Alexandra,Jarvis,F,martinrachel@example.org,Algeria,-28.235815,-134.551625,Ford,F-150,30000,2011-01-06 03:39:31,
Kelly,Thompson,M,jasonroberts@example.com,Madagascar,9.6910175,-5.571098,Volkswagen,Passat,27000,2017-05-15 06:43:38,2022-05-05 03:17:19
Jenna,Valdez,M,brookelopez@example.net,French Southern Territories,66.0310145,48.835907,Volkswagen,GTI,30000,2011-01-28 08:27:45,
Lisa,Cox,F,gsmith@example.net,Niue,65.1459905,176.774026,Ford,Escape,26000,2022-08-25 02:56:53,
Lisa,Singleton,F,matthew63@example.net,Malaysia,42.697428,146.388353,Volkswagen,Jetta,19000,2009-07-23 04:35:29,
Kristy,Pierce,F,vgreene@example.net,United Kingdom,30.8158615,144.121226,Tesla,Roadster,200000,2021-08-01 07:50:42,
Kaitlin,Collier,F,anna69@example.net,Eritrea,-21.445538,-13.439442,Ferrari,Daytona SP3,2200000,2017-05-16 23:25:14,
Alexis,Todd,F,wellis@example.org,Malawi,29.2272315,-67.714727,BMW,X3,43000,2021-07-23 23:48:13,
Melissa,Schaefer,F,patrickkim@example.net,Bouvet Island (Bouvetoya),5.648890,-175.602693,Honda,Civic,22000,2022-06-25 15:10:52,
